code,date,open,close,high,low,volume
SH.688122,2021-11-24 10:00:00,92.39,93.22,94.21,92.0,803900.0
SH.688122,2021-11-24 10:30:00,93.22,91.49,93.38,91.32,452200.0
SH.688122,2021-11-24 11:00:00,91.53,91.5,92.17,90.93,421100.0
SH.688122,2021-11-24 11:30:00,91.55,90.85,91.87,90.5,528200.0
SH.688122,2021-11-24 13:30:00,90.65,90.14,91.65,89.61,821700.0
SH.688122,2021-11-24 14:00:00,90.11,88.97,90.11,88.01,1278600.0
SH.688122,2021-11-24 14:30:00,89.06,88.6,89.98,88.6,861800.0
SH.688122,2021-11-24 15:00:00,88.73,89.05,89.51,88.67,886600.0
SH.688122,2021-11-25 10:00:00,89.0,88.26,90.35,88.24,843500.0
SH.688122,2021-11-25 10:30:00,88.31,89.45,89.65,88.3,382800.0
SH.688122,2021-11-25 11:00:00,89.28,88.1,89.54,87.87,349600.0
SH.688122,2021-11-25 11:30:00,87.97,88.7,89.1,87.88,198400.0
SH.688122,2021-11-25 13:30:00,88.57,89.28,89.29,88.51,323900.0
SH.688122,2021-11-25 14:00:00,89.27,89.27,89.49,88.57,404700.0
SH.688122,2021-11-25 14:30:00,89.29,88.95,89.46,88.74,431800.0
SH.688122,2021-11-25 15:00:00,89.06,88.88,89.06,88.7,474000.0
SH.688122,2021-11-26 10:00:00,88.8,89.68,89.8,88.21,711500.0
SH.688122,2021-11-26 10:30:00,89.69,89.61,90.4,89.3,573700.0
SH.688122,2021-11-26 11:00:00,89.6,89.6,90.18,89.54,426600.0
SH.688122,2021-11-26 11:30:00,89.61,89.68,89.92,89.29,442500.0
SH.688122,2021-11-26 13:30:00,89.68,88.09,89.8,88.0,521500.0
SH.688122,2021-11-26 14:00:00,88.1,88.36,88.56,87.51,608400.0
SH.688122,2021-11-26 14:30:00,88.21,89.14,89.27,88.21,559900.0
SH.688122,2021-11-26 15:00:00,89.16,89.0,89.43,88.85,483700.0
SH.688122,2021-11-29 10:00:00,88.99,93.73,94.0,87.18,1954200.0
SH.688122,2021-11-29 10:30:00,93.73,93.63,93.74,92.02,850700.0
SH.688122,2021-11-29 11:00:00,93.6,96.65,96.88,93.26,1663000.0
SH.688122,2021-11-29 11:30:00,96.65,95.29,97.3,95.05,1084800.0
SH.688122,2021-11-29 13:30:00,95.1,95.09,95.53,94.9,525200.0
SH.688122,2021-11-29 14:00:00,95.09,95.55,95.99,95.01,546800.0
SH.688122,2021-11-29 14:30:00,95.29,95.17,95.6,95.01,460300.0
SH.688122,2021-11-29 15:00:00,95.16,95.0,95.36,94.5,769900.0
SH.688122,2021-11-30 10:00:00,97.05,96.39,97.05,94.11,1036400.0
SH.688122,2021-11-30 10:30:00,96.31,97.15,97.27,94.84,974000.0
SH.688122,2021-11-30 11:00:00,97.08,97.62,97.85,96.1,808200.0
SH.688122,2021-11-30 11:30:00,97.67,98.22,99.92,97.67,1347300.0
SH.688122,2021-11-30 13:30:00,98.22,97.06,98.3,96.85,826300.0
SH.688122,2021-11-30 14:00:00,96.89,96.3,97.7,95.99,807600.0
SH.688122,2021-11-30 14:30:00,96.21,96.04,96.62,95.68,558700.0
SH.688122,2021-11-30 15:00:00,96.01,97.1,97.15,95.84,2163100.0
SH.688122,2021-12-01 10:00:00,97.03,95.4,97.97,94.71,1447800.0
SH.688122,2021-12-01 10:30:00,95.4,94.7,96.18,94.5,505600.0
SH.688122,2021-12-01 11:00:00,94.74,94.09,95.0,93.75,552400.0
